gene_id	fpkm_TP53_1	fpkm_TP53_2	fpkm_TP53_3	fpkm_TertTP53_1	fpkm_TertTP53_2	fpkm_TertTP53_3	fpkm_Tert_1	fpkm_Tert_2	fpkm_Tert_3	fpkm_WT_1	fpkm_WT_2	fpkm_WT_3
793110	0	2.22	0.13	0	0	0.23	0	0	0.59	1.18	0	0
101886968	0	0	0.36	1.29	0	0.35	0.67	3.67	1.62	0	1	0
550380	0.82	1.19	0.68	1.1	0.44	0.53	8.23	3.57	29.73	1.91	1.63	1.1
101882062	1.12	0.6	0.2	0.08	0.18	0.36	0.35	0.16	0.13	0.05	0.06	0.12
100003752	6.31	9.07	10.04	7.49	7.12	10.16	11.55	7.05	10.68	9.22	11.41	6.66
415239	1.46	1.23	1.41	2.69	2.14	1.5	3.33	5.82	2.75	1.66	2.78	2.6
399480	82.86	21.52	61.17	74.77	102.75	44.01	73.81	79.94	111.44	68.9	63.16	95.49
321203	25.82	29.88	23.86	19.9	20.52	28.99	22	17.81	17.07	22.56	21.51	19.6
100333716	1.56	0.25	1.17	2.05	2.38	1.44	1.95	2.31	2.28	2.57	2.07	2.15
100537264	1.18	3.05	0.63	0.8	7.66	2.51	5.15	7.81	8.12	9.8	6.02	8.94
100151586	2.34	2.43	0.95	0.55	0.12	0.72	0.31	0.37	3.26	0.24	0.87	0.61
100538201	0	0	0.48	0.18	0.23	0.26	0.26	0.56	0.06	0	0.21	0.11
555376	10.26	9	9.6	8	10.75	12.56	8	12.45	6.83	9.97	8.6	7.53
101885896	2.87	0.85	1.48	1.4	0.68	6.63	0.48	0	0.08	2.04	1.64	0.29
326793	3.45	3.84	4.01	2.15	2.51	5.68	1.6	3.34	1.81	2.86	1.7	1.7
100331456	6.56	6.68	4.55	11.39	10.61	2.7	6.92	11.65	7.51	8.63	8.46	10.43
572261	1.36	0.03	2.31	4.27	5.35	0.77	2.29	3.93	5.26	3.79	3.7	5.52
562262	0.81	0	1.15	1.58	1.36	0.09	0.89	2.42	2.02	2.15	1.25	1.04
110437969	0.97	0.1	0.85	0.79	1.68	0.51	0.99	1.4	2.16	0.27	0.82	0.29
100000253	0	0	0.08	0	0	0	0.07	0.14	0	0.47	0.07	0
100329365	0	0	0	0	0.13	0	0	0	0.06	0	0	0
559398	1.69	4.13	1.4	0.7	1.99	0.67	2.02	1.68	2.99	0.56	2.34	0.83
564225	61.03	58.24	68.79	58.62	59.15	57.45	67.37	59.98	48.49	66.24	68.25	75.48
100329562	0.14	0	0	0	0	0	0.25	0.13	0	0.48	0	0.24
553324	34.27	38.59	32.86	28.66	32.25	35.34	24.94	33.87	21.45	23.01	27.53	24.42
387290	92.69	110.73	104.93	70.57	48.41	57.45	160.88	75.25	74	120.74	90.86	87.82
503609	1.27	4.49	1.97	1.72	0.98	1.42	1.55	2.28	2.81	0.95	2.12	0.82
101883495	0.2	0	0	0.21	0.05	0.12	0.76	0.33	4.36	0.09	0.05	0
337571	2.06	4.7	1.92	3.87	3.49	1.81	4.98	6.88	4.84	3.79	4.46	3.8
100537290	4.37	1.24	3.92	1.74	5.56	2.36	4.36	2.08	2.22	6.87	5.98	6.47
110438115	37.19	1.77	28.88	3.12	13.44	43.56	40.92	4.81	14.49	12.98	20.42	26.27
100534944	1.21	0.24	1.18	4.08	6.15	0.51	2.88	4.03	4.21	6	4.96	6.5
100536939	0	0	0	0.2	0.38	0.07	0.19	0.21	0.37	0	0	0
678523	7.83	11.01	6.59	4.28	6.16	7.11	5.72	5.8	4.9	3.86	5.91	4.57
569828	44.9	96.65	47.38	159.61	73.17	54.97	44.24	84.15	47.1	112.42	85.64	90.83
100329806	0	0	0	0	0	0	0	0	0	0.13	0	0
415103	0.34	1.08	0.11	2.48	0.97	0.04	0.03	1.6	1.48	1.7	0.17	0.3
474351	0.11	0.08	0.09	0.3	0.02	0.13	0.05	0.16	0.03	0	0.12	0.18
393420	8.09	7.82	7.37	8.62	9.33	8.88	8.28	7.97	8.51	7.44	8.8	8.43
445156	7.36	6.33	6.93	5.39	6.63	4.54	7.19	10.19	8.52	6.96	7.64	7.49
323832	4.67	3.75	6.09	5.09	5.3	4.67	7.8	6.29	7	4.79	5.85	4.99
556023	0.7	0.31	0.33	0.45	0.53	0.09	0.26	0.74	0.53	0.75	0.34	1.09
406696	150.39	211.14	151.14	175.17	138.04	135.82	139.15	149.25	125.5	188.64	157.94	190.91
565643	1.33	0	0.68	0.99	1.96	0.7	0.68	1.72	0.87	1.59	0.51	2.26
336283	12.96	24.96	14.8	14.05	13.72	18.8	14.49	13.34	12.38	15.85	18.06	14.28
101886793	0	0	0	0	0	0	0	0	0.3	0	0	0
570630	3.76	3.73	3.44	2.46	2.63	4.09	2.72	2.4	3.09	2.47	2.11	2.25
405804	12.77	11.91	14.13	19.71	16.81	11.55	9.5	11.21	11.44	13.99	11.59	14.54
101885083	2.24	0.14	1.11	1.23	2.5	0.68	1.27	0.72	1.64	1.5	1.04	0.85
572757	0	0	0	0	0	0	0.2	0.02	0.04	0	0.13	0
393622	31.52	33.17	31.85	40.4	39.13	28.29	28.78	43.54	29.23	42.23	40.64	50.54
567965	3.98	2.37	5.12	7.43	6.05	2.9	8.32	9.7	3.65	4.63	5.79	3.82
30325	1.05	1.49	2.12	0.09	0	0.13	1.86	0.96	0.29	1.63	0.58	0.24
352940	40.82	20.14	40.36	17.92	27.66	27.09	42.94	28.6	43.86	37.74	49.91	25.32
101885705	6.46	4.96	7.37	2.09	2.51	3.29	1.68	5.5	1.65	0.36	1.56	2.04
569168	14.93	14.77	15.96	20.21	16.52	14.66	15.61	15.7	12.76	17.43	16.5	18.03
266962	2.91	0.67	3.8	3.11	4.18	2.39	4.83	3.81	3.78	2.89	3.32	3.46
100536707	0	0	0	0	0	0	0	0.11	0.04	0.07	0.07	0.03
393777	61.41	110.84	52.46	52.83	49.25	58.23	57.9	60.18	38.97	53.99	51.6	42.13
560295	2.39	1.82	2.9	1.76	2.96	1.37	7.39	3.84	3.11	5.37	3.95	5.41
561946	0	0	0	0	0	0	0.03	0	0	0	0	0
100001422	1.38	1.62	1.7	2.82	1.95	1.99	2.67	9.6	3.9	1.29	6.16	1.67
560911	3.84	3.09	3.14	4.17	3.71	0.95	6.4	7.93	3.56	5.64	3.61	4.21
100003636	0.85	0.47	0.8	0.52	1.04	0.69	1.31	0.39	1.14	0.49	0.85	0.45
337226	91.33	165.93	104.29	87.99	70.04	119.84	144	138.95	147.65	92.37	131.46	71.45
368748	0	0.13	0.12	0.04	0.04	0	1	0.74	1.58	0.11	0	0.15
768157	0.07	0	0	0.07	0.2	0	0.06	0.1	0	0.09	4.29	0.06
569550	0.28	0	0	0.05	0	0	0.13	0.26	0.17	0.16	0.17	0.21
561159	36.82	11.95	38.26	31.01	37.17	29.36	46.44	51.11	29.99	34.09	34.08	30.3
568523	0	0.08	0.22	0	0.16	0	0.19	0.09	0.32	0	0.24	0.12
100330443	87.47	32.9	81.47	69.87	84.17	68.24	56.21	51.89	40.87	54.28	43.82	80.18
405879	15.3	17.26	15.66	12.59	14.1	12.11	9.79	12.93	10.19	12.02	12.09	12.1
407733	63.38	51.08	45.04	39.49	52.28	70.76	35.21	29.05	43.03	31.81	32.58	31.91
795807	0.26	0	0.12	0.87	0	0.24	0	0.23	0.83	0.11	0.11	0
570477	28.95	77.71	24.77	28.91	47.7	32.35	30.08	72.18	27.84	26.77	33.32	33.32
797682	6.21	3.85	6.97	8.02	7.58	6.73	3.76	5.88	4.18	7.29	7.32	8.3
108179223	3.02	1.13	2.75	5.92	4.02	1.89	2.06	1.81	1.49	2.63	0.84	2
405842	6.37	9.24	10.08	8.22	8.94	9.08	10.47	11.86	11	9.55	7.84	7.07
58100	3.21	3.33	2.89	3.73	2.28	4.55	4.16	11.18	4.73	3.19	3.56	2.85
100334245	3.28	0	4.2	2.32	3.36	3.19	4.83	3.58	5.97	4.77	4.03	3.96
559426	0.18	0.33	0.57	0.36	0.26	0.57	0.39	0.25	0.11	0.34	0.37	0.32
393695	137.03	170.19	140.42	141.86	118.75	133.09	110.37	113.12	81.63	128.19	141.17	125.38
553768	20.3	27.22	17.94	21.2	18.97	13.6	20.23	23.55	9.24	20.64	30.6	29.06
101883805	4.58	4.71	4.15	2.92	6.12	2.14	4.94	6.01	4.66	5.77	6.1	3.25
564019	21.16	3.52	20.46	11.22	12.41	17.92	21.93	11.07	13.44	14.98	12.18	12.73
80963	8.8	3.08	9.51	8.86	12.19	7.03	11.55	13.19	15.22	15.37	11.1	12.46
324818	14.58	11.62	8.94	11.17	12.2	14.94	16.27	27.54	13.74	7.49	9.98	9.22
100331662	5.24	3.8	6.07	6.45	6.77	4.78	6.76	8.74	9.44	8.87	6	6.53
798872	12.22	6.62	8.63	24.74	27.94	9.38	11.05	20.97	16.24	14.62	14.6	20.92
436797	42.43	44.98	43.13	32.51	33.81	36.58	34.83	33.95	23.56	31.91	35.33	37.75
100006713	29.16	20.9	34.14	24.07	19.94	28.77	18.38	20.05	19.87	23.35	22.63	28.86
100000399	3.69	1.84	3.26	6.2	4.99	1.71	6.89	10.49	11.54	6.53	5	4.92
557679	123.53	105.15	130.26	125.06	130.24	121.17	112.63	104.27	86.46	129.92	124.56	127.57
406516	70.89	80.51	69.65	130.69	144.48	72.65	68.94	108.65	105.96	120.96	116.85	87.8
83917	2.29	6.81	2.45	1.39	3.39	2.73	5.82	5.24	19.02	1.43	2.63	2.16
100005714	6.06	10.76	7.39	7.88	5.47	11.55	7.03	8.65	4.81	5.3	7.45	4.74
30206	18.77	13.13	17.13	21.39	27.55	18.98	13.47	18.99	16.27	24.82	22.92	29.59
564385	0.91	1.07	2.14	1.33	1.32	1.09	1.68	1.92	1.27	1.51	1.35	1.3
110438149	0.39	0	0.17	0.45	0.24	0.23	0.31	0.31	0.14	0.21	0.2	0.58
406267	51.75	52.95	51.85	44.57	39.58	59.78	40.88	37.93	44.17	40.26	39.82	33.19
567014	4.52	2.12	4.94	3.62	6.07	4.52	8.68	6.28	9.56	4.9	7.11	5.3
100145909	67.4	42.16	61.58	49.5	44.68	74.76	36.39	42.23	44.28	38.63	55.65	46.2
100331214	0.08	0.09	0	0.17	0.04	0.04	0	0.66	0.12	0.33	0.62	0.09
557841	2.22	4.55	2.79	2.11	1.99	3.06	2.81	2.52	3.78	1.61	2.43	1.78
100334847	0.82	0.69	0.44	0.76	0.1	0.03	0.7	1.53	0.59	0.06	0.43	1.07
325004	87.84	64.63	66.53	67.1	85	54.68	78.48	108.21	77.05	81.89	71.95	84.32
569581	32.25	30.13	33.93	33.41	39.99	31.64	35.24	35	33.72	39.36	41.61	40.25
563054	0.48	0.1	0.03	0.19	0.51	0.03	1.39	1.48	4.53	0.17	0.28	0.33
560711	1.99	0.27	3.15	3.07	2.73	1.33	1.99	2.79	1.74	4.05	1.58	5.13
327005	15.39	5.57	15.29	14.32	21.44	12.9	16.14	15.83	12.37	14.52	14.65	14.84
100332327	0	0	0.04	0	0.15	0.03	0.61	0.1	1.3	0.14	0.11	0.16
799102	1.94	0.35	1.73	1.99	2.54	0.82	0.92	2.34	3.05	2.63	2.37	2.51
567921	2.8	1.04	2.59	5.21	5.45	2.6	2.95	5.61	4.77	4.8	2.59	4.76
100151757	8.24	6.12	6.93	8.59	6.55	8.05	6.31	5.9	3.17	4.9	4.78	5.2
553709	19.91	30.58	21.53	13.74	14.35	24.03	15.73	16.73	17.47	20.2	18.94	13.79
556080	11.47	16.84	13.37	16.97	12.75	16.12	11.52	9.58	10.35	19.13	16.95	12.89
110439490	1.75	2.88	1.99	1.43	0.78	2.42	1.74	1.6	0.83	1.32	2.17	1.47
436974	0.08	0	0.62	0	0.08	0.08	0.07	0.29	0.07	0.07	3.02	0
100001408	2.44	1.65	1.16	1.82	1.79	0.31	1.63	4.31	2.01	2.07	1.15	1.25
100331190	25.29	11.7	22.11	16.23	19.87	18.32	21.99	17.43	15.38	28.53	31.41	19.58
797595	0.7	0.19	0.23	1.01	1.95	0.52	0.55	1.14	0.81	1.78	1.53	1.49
447799	5.39	2.82	7.19	7.4	8	3.48	9.24	9.81	9.3	5.39	4.95	5.08
557518	16.69	4.22	19.83	4.83	8.6	21.11	17.97	6.09	6.92	15.99	27.01	8.06
558281	7.48	2.08	8.93	4.97	6.1	8.71	7.98	4.2	6.1	4	4.5	4.43
570182	16.95	5.51	12.24	13.6	15.38	13.6	15.96	12.31	13.93	16.06	13.11	16.44
110439274	0	0	0	0.04	0	0	0	0	0	0.03	0	0
58098	25.76	20.1	29.53	33.93	33.48	34.68	24.21	35.18	22.88	28.32	31.15	27.34
562268	2.78	0.4	1.26	4.59	4.29	0.8	1.79	4.61	2.51	4.29	2.74	5.32
558578	23.23	27.81	26.49	22.35	20.39	31.16	22.76	21.18	22.26	19.24	23.09	19.06
564995	0.21	0.51	0.41	0.07	0.34	0.2	0.06	0.51	0.32	0.3	0.06	0.67
100006454	1.73	0.12	2.99	5.15	2.15	3.62	2.48	3.67	6.36	4.57	2.16	4.63
794222	2.95	0.03	1.27	5.64	3.91	0.4	1.94	4	3	3.25	1.54	6.38
555805	2.37	0.43	1.09	1.61	3.63	1.08	1.33	3.9	3.57	1.82	1.17	2.01
436997	0	0	0	0	0	0	0	0	0.16	0	0	0
559635	0	0	0	0	0	0	0.09	0	0.33	0.14	0	0
100007678	1.14	3.17	1.46	0.89	2.88	2.16	1.68	1.94	1.12	1.04	0.94	0.54
406529	253.89	414.19	271.97	285.6	259.83	278.37	205.58	193.26	160.2	259.33	243.8	207.14
492472	56.93	44.8	41.55	46.98	55.46	37.5	32.4	29.76	39.55	34.03	34.87	35.91
560644	1.25	2.01	2.44	2.24	3.6	2.75	1.41	4.63	2.2	3.02	4.08	3.21
336770	21.5	43	19.53	35.88	32.18	26.5	46.49	34.15	44.45	38.01	37.49	51.41
569940	2.71	2.61	2.53	1.5	2.35	3.07	2.22	2.6	2.71	2.15	2.34	2.68
751647	2.71	1.29	4.35	3.84	5.04	1.32	5.3	7.79	3.66	7.38	5.05	7.99
767715	0.52	0.6	1.07	1.18	0.49	0.78	0.86	1.15	1.83	1.75	0.97	0.65
556780	33.25	3.17	32.45	6.46	10.43	27.87	32.9	7.49	19.97	8.29	16.19	10.1
550370	6.63	7.15	6.63	6.39	5.73	6.33	5.29	6.89	5.48	7.83	4.85	6.85
108191611	0	0.29	0.14	0.09	0.06	0.22	0.13	0.42	0.24	0	0.18	0.14
103910452	0	0	0	0	0	0	0.06	0	0.08	0.11	0	0
108180310	1.17	0.95	0.54	0.44	0	0.08	0.61	0.29	0.66	0	1.29	0.06
100333180	0.28	0.2	0.93	0.86	0.78	0.67	1.05	1.4	1	1.13	1.02	0.84
553756	20.03	8.76	22.73	29.02	47.96	11.7	21.5	26.06	23.47	39.84	39.66	32.29
564404	0	0	0.06	0	0	0	0	0	0.06	0	0	0
445093	0	0	0	0.07	0	0	0	0.13	0.13	0	0.07	0.06
436644	25.69	44.18	31.21	50.33	24.3	23.4	48.01	25.93	31.83	46.38	43.47	31.89
767732	2.89	1.6	3.59	3.06	3.17	2.67	1.58	3.13	1.39	3.71	2.91	3.92
103910498	0.56	0	0.22	0.63	0.22	0.32	0.47	0.84	1.9	0.14	0.37	0.48
100170827	4.68	4.06	4.7	4.51	5.23	4.33	4.67	4.1	3.74	5.28	5.66	5.96
553501	7.88	12.4	11.04	22.68	11.14	7.29	9.8	36.17	16.58	29.37	12.29	15.51
393948	34.79	36.08	35.43	27.36	32.31	43.66	28.32	25.76	20.77	24.86	27.44	22.66
110438255	0	0	0.06	0	0.09	0.24	0.13	0.28	0.08	0.13	0.12	0.07
386659	13.56	9.44	11.56	10.03	13.53	8.66	8.74	10.07	8.27	11.39	10.87	16.07
100334728	11.46	9.25	11.49	13.34	14.99	10.7	15.93	12.41	36.14	13.58	13.16	12.57
100333296	6.38	2.79	5.37	6.41	7.6	2.64	9.35	7.33	9.73	13.79	8.74	11.57
100150438	46.16	106.2	56.15	43.55	33.98	56.88	47.7	46.75	28.33	53.91	53.19	39.64
798858	7.91	3.6	8.85	6.6	7.27	12.19	7.21	5.87	6.83	4.83	6.6	5.5
100535284	0.22	0.04	0.13	0.07	0.06	0.09	0.09	0.06	0.29	0	0	0.12
100535877	28.39	31.02	29.48	26.98	23.68	32.67	26.47	28.23	26.51	27.39	29.92	22.65
100320778	3.3	1.07	1.55	4	3.53	1.97	0.93	1.25	2.47	3.48	2.79	6.5
555262	5.88	5.55	7.11	5.43	5.22	7.34	3.65	6	4.92	4.2	5.33	5.08
566920	9.18	6.04	9.64	9.1	9.13	8.85	8.79	9.05	7.08	9.07	9.35	9.84
402928	0.07	0	0	0.52	0.3	0	0.17	0.4	0.88	0.13	0	0.06
393263	9.79	9.79	15.82	12.03	17.66	14.33	16.73	16.73	13.01	15.28	18.32	17.58
564291	12.31	4.14	5.32	2.97	3.61	5.42	12.06	1.66	4.8	4.73	6.95	3.47
100001110	0	0	0	0	0	0	0.09	0	0.09	0.75	0.09	0
567119	7.35	4.26	9.15	5.25	6.7	7.13	5.77	6.02	5.96	4.56	6.07	5.59
30576	4.08	6.98	6.64	7.5	6.95	6.04	7.48	7.57	8.87	6.74	6.38	7.41
84703	5.38	21.28	5.42	9.12	6.91	29.69	23.68	6.77	14.24	7.04	18.06	22.72
100334104	3.52	6.07	5.21	7.55	6.27	8.04	4.79	5.16	3.66	7.18	5.81	5.81
321943	132.42	148.23	133.98	150.16	136.72	118.15	163.07	141.09	159.65	156.46	140.3	142.48
550369	0.35	1.11	1.31	2.17	1.85	0.79	8.84	5.08	8.52	3.12	3.82	3.14
394035	690.74	1941.01	724.09	756.19	784.84	1019.59	885.54	1135.5	1283.14	854.17	697.03	714.91
110437948	0.3	0	0.28	0	0.29	0	0.39	0.13	0.27	0	0	0.62
568740	3.54	2.64	5.44	7.35	7.61	4.03	18.02	8.4	9.79	10.02	12.11	6.86
405890	14.9	11.6	19.35	6.2	10.5	14.88	46.07	5.37	6.23	16	12.69	10.45
323089	9.51	1.35	10.77	14.52	18	8.06	9.51	14.45	15.68	16.55	14.7	15.25
378480	3.23	4.57	3.37	5.2	1.81	5.52	4.08	6.66	3.78	4.61	3.84	2.51
564424	1.45	0.57	1.37	2.07	1.96	1.04	1.2	3.05	1.27	2.18	1.57	2.62
393331	26.54	47.21	29.9	26.42	21.37	37.09	34.79	31.11	24.41	27.86	30.37	26.81
327510	17.92	12.13	14.37	27.18	20.25	4.75	8.18	19.85	18.72	21.73	14.14	17.08
100535437	0.81	0	1.04	0.79	1.41	0.76	2.29	3.42	5.18	1.79	1.39	1.69
259192	499.02	1034.43	484.61	644.18	462.07	514.09	425.71	554.43	364.66	573.44	489.38	498.82
560242	8.01	6.31	9.2	6.34	8.16	6.95	10.79	10.14	10.23	9.11	9.14	7.16
393185	2.71	6.14	3.33	4.57	2.53	4.42	4.12	3.86	2.84	2.03	3.29	2.99
552924	0.13	0	0.08	0	0.04	0	0.1	0.16	0.28	0.08	0.24	0.08
321796	13.45	8.94	12.98	8.59	11.75	9.45	11.99	12.39	12.31	15.11	10.62	12.97
101884107	3.39	0.44	3.05	9.09	7.32	1.2	1.86	6.51	5.76	9.52	5.59	9.93
101883024	3.41	1.08	4.07	2.38	3.41	2.44	3.11	3.23	3.76	2.47	2.63	2.36
567969	0.39	0	0.38	1.65	1.07	0.67	0.9	1.7	2.01	1.32	0.63	0.72
393400	1.12	0.8	1.82	0.71	1.69	2.83	2.34	5.52	0.23	0.63	2.76	0.31
170986	0.1	0	0	0.1	0.25	0	0	0	0.09	0	0.18	0.08
103909784	0.12	0.26	0.09	0	0	0.26	0	0	0	0.05	0.01	0.09
570033	44.18	31.25	35.81	31.43	37.46	33.87	32.06	19.96	27.24	32.11	29.48	30.61
557528	32.28	35.3	35.64	32.14	31.09	35.9	38.94	32.58	38.26	31.78	32.97	31.98
553653	2.81	0.76	3.42	2.36	2.89	2.8	2.48	3.89	3.69	2.74	2.39	1.92
559297	6.63	2.93	6.42	5.29	9.5	4.66	7.61	8.1	7.8	6.66	7.6	8.95
108180016	0.37	0.3	0.76	0.37	0.55	0.95	0.56	0.2	0.09	0.54	0.46	0.91
550604	0.41	0.32	0.22	0.18	0.08	0.32	0.06	0.18	0.13	0.23	0.14	0.14
493629	0.73	2.87	2.76	0.41	0.1	0.98	1.29	0.93	0.29	0.8	0.46	0.89
442932	11.75	12.69	12.49	9.81	8.58	17.31	10.69	10.23	9.61	9.21	10.36	10.76
101883881	0	0	0.08	0.29	0.11	0.04	0.08	0.05	0.15	0.14	0.07	0.07
100538007	2.46	1.66	2.11	3.31	4.13	2.53	5.25	7.77	9.99	5.24	2.99	5.44
100334656	3.48	0	1.1	1.62	1.34	0.9	1.01	1.19	1.12	1.13	0.89	1
101882637	0	0	0.17	0	0.2	0.04	0.12	0.08	0.12	0.15	0.58	0.04
449797	15.49	13.6	11.21	21.69	15.18	12.39	8.41	17.61	6.6	13.64	11.55	16.43
678600	17.47	22.06	21.74	23.88	19.71	18.88	15.07	15.33	15.11	14.92	17.91	13.37
