gene_id	fpkm_TP53_1	fpkm_TP53_2	fpkm_TP53_3	fpkm_TertTP53_1	fpkm_TertTP53_2	fpkm_TertTP53_3	fpkm_Tert_1	fpkm_Tert_2	fpkm_Tert_3	fpkm_WT_1	fpkm_WT_2	fpkm_WT_3
ENSDARG00000012057	0	0	0.69	0.09	1.04	0.09	0.24	1.13	1.4	1.24	0.81	0.86
ENSDARG00000012060	0.19	0.05	0.25	0.42	0.27	0.16	0.44	0.2	0.16	0.41	0.37	0.64
ENSDARG00000012066	45.33	49.53	68.5	18.94	15.72	33.76	70.05	54.19	44.58	41.51	39.32	30.83
ENSDARG00000012071	1.39	0.12	0.34	0.52	1.98	0.44	1.04	1.16	0.68	0.65	1.04	1.81
ENSDARG00000012072	27.23	46.29	32.68	32.35	20.74	46.04	24.44	22.83	20.17	29.7	23.81	21.7
ENSDARG00000012073	1.23	1.03	1.07	0.5	1.13	1.11	1.76	0.78	4.2	0.34	0.87	0.41
ENSDARG00000012076	0	0.65	0.34	0	0.09	0	0.16	28.67	1.81	0	0	0.16
ENSDARG00000012078	75.6	67.91	97.5	21.51	25.85	84.35	99.85	28.43	58.49	58.19	58.48	38.71
ENSDARG00000012113	3.12	2	5.65	4.12	5.1	3.02	3.83	7.19	2.94	5.95	4.65	4.31
ENSDARG00000012125	0.22	0	0	0	0	0.8	0	0.41	0.06	0	9.13	0
ENSDARG00000012126	0.08	0.13	0.16	0.04	0.08	0.28	0	0.42	0	0	1.86	0.15
ENSDARG00000012135	15.04	10.3	15.25	10.24	13.9	13.94	14.08	11.09	11.22	11.86	11.61	14.93
ENSDARG00000012137	0.53	0.3	0.74	0.4	0.33	1.76	0.64	0.28	0.17	0.2	0.65	0.2
ENSDARG00000012138	72.83	84.14	70.33	99.88	91.91	76.47	65.21	89.25	49.69	106.43	92.58	84.33
ENSDARG00000012140	35.58	66.81	42.39	38.66	30.66	71.67	32.74	28.62	27.66	34.91	45.92	36.38
ENSDARG00000012141	41.27	31.56	38.55	32.4	33.04	48.01	29.75	31.69	30.89	33.83	36.56	30.19
ENSDARG00000012144	35.26	48.73	31.92	35.05	34	35.79	30.64	37.35	26.21	30.41	36.64	36.99
ENSDARG00000012177	5.08	0.84	2.41	2.93	4.16	3.72	3.89	5.35	4.9	1.83	2.7	7.65
ENSDARG00000012184	8.08	1.46	6.1	5.3	6.77	5.03	8.14	6.71	4.99	9.66	7.22	9.21
ENSDARG00000012192	10.78	12.08	11.42	13.9	11.19	14	13.4	14.06	14.78	13.79	14.22	13.2
