gene_id	tpm_WT_1	tpm_WT_2	tpm_WT_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000010555	1.46	4.61	0.76	2.35	0.68	1.82
ENSDARG00000010556	0.8	0.62	0.64	0.12	0.61	0.86
ENSDARG00000010563	18.68	17.69	22.17	22.89	20.23	21
ENSDARG00000010565	0.59	0.46	0.72	0.43	0.07	0.14
ENSDARG00000010571	4.61	6.66	6.01	4.85	6.06	5.53
ENSDARG00000010572	1.76	4.76	6.03	4.97	3.78	4.59
ENSDARG00000010583	6.78	5.8	5.9	5.75	6.87	3.43
ENSDARG00000010586	8.23	7.66	14.4	12.87	15.19	8.33
ENSDARG00000010591	6.25	13.13	0.88	5.03	3.84	1.73
ENSDARG00000010596	69.65	71.14	72.32	99.86	117.54	73.83
ENSDARG00000010601	15.09	10.41	18.18	7.99	16.05	3.43
ENSDARG00000010602	0	1.75	0	0	0	0
ENSDARG00000010603	15.94	15.99	14.19	13.04	15.15	15.77
ENSDARG00000010610	32.23	25.81	31.35	30.12	28.27	16.61
ENSDARG00000010619	3.67	1.34	1.05	0.07	1.25	0.56
ENSDARG00000010625	80.24	72.12	70.18	56.11	50.48	44.45
ENSDARG00000010630	10.01	0	0	0	0	0
ENSDARG00000010641	43.32	40.06	51.6	44.64	39.63	32.67
ENSDARG00000010654	3.2	2.22	4.49	3.31	1.95	0.58
ENSDARG00000010655	40.82	58.17	56.51	55.19	55.69	57.14
ENSDARG00000010658	60.24	58.35	55.44	49.33	44.8	32.07
ENSDARG00000010662	0.17	0.87	0.83	2.81	0.59	0
ENSDARG00000010673	1.11	1.08	0.39	1.01	0.22	0.35
ENSDARG00000010680	1.97	15.84	0.49	0	0	0.52
ENSDARG00000010681	7.81	8.74	11.27	12.36	12.99	12.79
ENSDARG00000010700	0	0	0	1.47	0	0
ENSDARG00000010701	0	0	0	0	0	0
ENSDARG00000010710	22.53	28.03	14.4	19.84	14.53	12.96
ENSDARG00000010712	0.64	0.47	0.27	0	1.14	0
ENSDARG00000010717	283.15	289.13	250.08	226.23	206.02	205.15
ENSDARG00000010721	160.95	177.61	204.67	190.47	204.76	165.6
ENSDARG00000010727	22.32	16.24	27.52	26.3	26.62	11.52
ENSDARG00000010728	1.88	1.24	3.95	0.75	3.24	1.03
ENSDARG00000010729	1	0.43	2.36	0.49	7.1	1.14
ENSDARG00000010732	15.94	12.34	13.68	15.53	14.37	8.38
ENSDARG00000010738	22.96	20.26	17.34	20.18	11.62	14.96
ENSDARG00000010745	198.38	173.9	157.93	206.96	180.64	164.74
ENSDARG00000010752	0.73	1.55	2.17	1.83	2	2.61
ENSDARG00000010756	0.38	0.97	0.47	1.09	0.69	0.77
ENSDARG00000010758	0.16	0.11	0.43	0	0.23	0
ENSDARG00000010764	1951.96	1170.35	597.5	1549.92	918.64	492.24
ENSDARG00000010767	5.82	7.08	5.18	2.76	6.05	8.31
ENSDARG00000010770	73.27	43.49	34.59	36.53	40.48	11.19
ENSDARG00000010773	33.06	36.63	33.35	53.85	80.4	25.94
ENSDARG00000010779	24.21	23.2	22.54	26.64	27.77	27.35
ENSDARG00000010784	37.18	29.09	33.64	43.72	51.15	40.06
ENSDARG00000010785	1.72	2.03	3.73	2.15	1.84	1.08
ENSDARG00000010789	9.35	8.44	12.37	8.87	7.72	4.04
ENSDARG00000010791	2.92	1.23	1.82	2.79	2.78	0.95
ENSDARG00000010792	2.8	3.48	3.15	4.87	3.84	2.82
ENSDARG00000010794	3.09	4.03	2.59	2.62	8.45	0.84
ENSDARG00000010816	55.86	37.64	64.19	81.09	58.54	18.75
ENSDARG00000010823	21.7	20.67	21.24	29.26	22.68	20.65
ENSDARG00000010831	49.37	45.62	35.93	47.58	30.95	60.09
ENSDARG00000010841	0.9	0.78	0.44	3.22	2191.89	1.43
ENSDARG00000010844	31.54	47.4	39.12	40.34	53.32	44.63
ENSDARG00000010862	2.84	3.29	2.01	2.34	2.35	2.36
ENSDARG00000010873	145.1	201.84	155.78	162.43	159.22	273.05
ENSDARG00000010878	14.1	7.3	9.01	26.91	13.39	7.05
ENSDARG00000010905	2.48	3.88	3.5	4.14	4.17	4.5
ENSDARG00000010918	12.6	10.68	10.59	13.05	12.7	17.29
ENSDARG00000010925	0.11	0.71	0.85	0.55	0.64	0.12
ENSDARG00000010934	8.3	7.12	27.6	15.5	11.78	1.5
ENSDARG00000010936	15.01	15.66	14.49	14.68	9.44	7.09
ENSDARG00000010941	14.89	12.18	20.01	13.66	16.14	4.34
ENSDARG00000010945	29.73	18.04	27.12	30.97	30.02	12.18
ENSDARG00000010946	74.91	57.73	61.76	66.84	71.71	53.72
ENSDARG00000010948	0.77	0.79	0.52	0.39	2.73	0.3
ENSDARG00000010953	69.94	80.89	58.48	60.68	70.28	73.59
ENSDARG00000010956	28.28	28.9	28.44	34.5	29.18	40.52
ENSDARG00000010957	93.27	109.95	105.8	102.78	107.93	125.42
ENSDARG00000010958	0	5.91	0.31	0	0.18	0.75
ENSDARG00000010962	2.47	6.58	5.58	3.37	25.23	2.43
ENSDARG00000010965	113.75	110.42	103.39	99.33	101.39	116.58
ENSDARG00000010977	2.12	1.92	1.1	1.9	6.09	4.25
ENSDARG00000010978	8.76	8.02	6.94	8.95	8.1	10.57
ENSDARG00000010981	13.76	11.5	13.22	11.64	14.8	8.8
ENSDARG00000011000	41.73	39.9	38.89	48.52	48.9	51.15
ENSDARG00000011020	229.91	200.69	214.98	264.78	212.94	266.51
ENSDARG00000011023	0.88	0.1	0.29	1.64	0	0
ENSDARG00000011026	14.04	17.31	12.48	15.91	11.68	14.85
ENSDARG00000011027	7.7	6.31	6.58	6.16	8.65	4.12
ENSDARG00000011042	32.87	26.75	33.11	28.92	32.59	26.78
ENSDARG00000011049	2.37	3.03	2.29	2.31	3.55	1.92
ENSDARG00000011055	113.45	109.85	91.29	118.7	91.14	135.07
ENSDARG00000011065	180.28	196.44	210.8	240.15	318.21	185.3
ENSDARG00000011066	9.78	9.34	8.68	7.89	10.03	4.87
ENSDARG00000011072	0.62	1.03	1.14	0.87	1.02	0.53
ENSDARG00000011076	2.53	6.11	1.95	26.4	3.67	1.5
ENSDARG00000011079	8.58	8.18	7.19	8.93	11.57	6.83
ENSDARG00000011083	0.97	0.15	0.89	0.8	0.5	0
ENSDARG00000011088	25.16	27.18	29.63	28.31	33.56	24.99
ENSDARG00000011091	18.65	4.38	14.1	15.16	12.42	1.53
ENSDARG00000011094	2.81	2.77	1.59	2.46	4.35	1.13
ENSDARG00000011113	4.18	1.25	0.09	0.66	0.07	0
ENSDARG00000011122	22.73	24	27.06	28.47	26.06	13.91
ENSDARG00000011125	254.95	198.04	224.69	211.99	170.15	261.77
ENSDARG00000011141	130.21	103.22	165.68	166.37	201.48	74.49
ENSDARG00000011146	351.46	294.05	260.45	331.91	163.21	358.25
ENSDARG00000011152	18.49	22.48	23.38	18.8	16.53	27.84
ENSDARG00000011157	6	5.84	5.33	5.88	3.73	4.9
ENSDARG00000011163	45.36	34.67	59.18	44.42	50.91	9.65
ENSDARG00000011166	248.44	300.51	311.03	198.42	182.32	538.35
ENSDARG00000011170	99.69	96.98	68.29	53.84	97.36	18.07
ENSDARG00000011171	40.43	45.94	39.55	26.02	39.21	49.88
ENSDARG00000011175	200.75	180.61	193.04	202.67	186.92	225.55
ENSDARG00000011188	22.62	24.07	25.33	36.74	33.97	24.99
ENSDARG00000011190	9.13	7.94	4.88	9.51	8.72	1.95
ENSDARG00000011196	16.61	14.49	14.72	20.55	19.81	13.56
ENSDARG00000011201	720.71	650.62	678.34	749.56	854.7	1008.99
ENSDARG00000011219	74.7	67.19	68.96	73.18	77.81	61.62
ENSDARG00000011222	53.88	38.22	43.08	61.53	37.83	16.83
ENSDARG00000011233	9.74	12.14	6.44	6.41	8.88	9.46
ENSDARG00000011235	128.7	155.09	50.71	49.55	154.56	130.23
ENSDARG00000011239	153.41	132.57	108.31	158.52	145.92	117.03
ENSDARG00000011240	56.21	36.8	56.1	61.29	52.67	51.76
ENSDARG00000011245	0	0.45	0.47	0.42	0.48	0
ENSDARG00000011246	30.57	26.98	26.63	27.99	26.56	33.99
ENSDARG00000011247	44.06	50.48	32.86	46.96	37.82	69.4
ENSDARG00000011257	0.1	0.3	0.14	0.17	0.21	0.66
ENSDARG00000011259	0.18	1.05	0.43	0.13	0.19	0.12
ENSDARG00000011262	1.6	1.01	0.97	0.58	1.4	1.25
ENSDARG00000011272	65.39	84.16	76.54	83.07	54.97	124.09
ENSDARG00000011273	1.88	0.35	3.82	0	0	0
ENSDARG00000011298	7.94	9.14	8.16	6.14	8.32	4.49
ENSDARG00000011299	23.36	16.75	22.94	18.38	23.05	21.93
ENSDARG00000011301	66.68	72.51	60.12	64.81	57.88	58.31
ENSDARG00000011312	32.55	36.56	33.77	41.53	39.8	40.02
ENSDARG00000011317	3.35	2.48	32.42	14.2	29.44	2.28
ENSDARG00000011326	6.3	1.31	5.16	9.88	4.44	1.71
ENSDARG00000011333	42.97	42.01	48.94	62.95	62.55	47.42
ENSDARG00000011334	26.27	16.42	31.27	51.51	30.13	6.3
ENSDARG00000011360	28.44	36.88	21.74	37.03	22.1	43.16
ENSDARG00000011370	135.95	142.22	113.61	148.12	131.85	153.78
ENSDARG00000011371	1.99	1.18	2.26	1.81	0.86	0.2
ENSDARG00000011373	5.32	14.94	6.22	5.6	7.76	15.81
ENSDARG00000011376	5.36	4.2	4.42	2.3	4.34	5.11
ENSDARG00000011400	0.14	0	0	0.34	0	0
ENSDARG00000011404	16.8	16.95	16.11	15.83	17.26	12.73
ENSDARG00000011405	787.25	658.59	741.49	717.28	884.27	734.76
ENSDARG00000011407	10.6	13.79	10.56	20.07	12.87	10.01
ENSDARG00000011410	13.82	11.54	9.12	9.69	8.33	5.52
ENSDARG00000011418	48.04	38.17	46.64	42.28	43.41	29.13
ENSDARG00000011422	1.72	1.57	2.14	2.64	1.6	1.87
ENSDARG00000011434	0	0.46	0	0	0.36	0
ENSDARG00000011445	5.06	4.73	4.13	3.33	4.71	2.33
ENSDARG00000011449	10.1	9.33	10.32	13.69	9.64	4.76
ENSDARG00000011459	17.73	15.34	22.93	11.37	14.96	10.71
ENSDARG00000011462	150.3	147.26	133.25	141.31	132.01	162.16
ENSDARG00000011463	0.08	0.16	0	0	0	0
ENSDARG00000011466	19.24	17.95	17.91	26.17	21.16	29.87
ENSDARG00000011473	14.18	11.04	11.52	13.46	13.03	1.95
ENSDARG00000011487	26.58	35.14	33.49	32.5	31.56	17.54
ENSDARG00000011488	45.85	48.46	40.31	48.76	40.83	40.7
ENSDARG00000011490	14.91	10.76	18.36	6.74	15.44	2.08
ENSDARG00000011493	9.51	10.39	12.23	12.52	12.39	13.55
ENSDARG00000011496	77.17	87.55	84.53	102.33	96.75	80.49
ENSDARG00000011498	46.72	52.89	43.71	62.81	48.87	41.26
ENSDARG00000011506	8.13	7.36	6.13	4.07	5.5	5.95
ENSDARG00000011510	19.13	19.91	20.59	22.07	26	9.86
ENSDARG00000011515	0.69	1.25	1.16	0.77	0.36	0.81
ENSDARG00000011519	0	0	0	0	0	0.13
ENSDARG00000011521	1.26	0	0.23	0	0	0.6
ENSDARG00000011533	36.51	42.1	23.49	25.46	30.4	52.63
ENSDARG00000011537	12.74	8.68	13.2	18.13	16.88	6.26
ENSDARG00000011545	121.21	135.77	118.06	129.05	119.8	160.91
ENSDARG00000011549	4.34	12.38	3.28	7.28	3.86	1.86
ENSDARG00000011553	621.82	634.68	486.61	523.99	423.54	592.34
ENSDARG00000011555	71.54	75.42	61.98	71.04	86.73	59.9
ENSDARG00000011564	282.43	273.66	308.75	259.53	303.65	214.81
ENSDARG00000011570	24.31	19.43	19.24	20.37	27.71	21.19
ENSDARG00000011571	0.43	0.89	0.34	0.15	0.48	0
ENSDARG00000011573	4.19	3.06	2	1.71	2.06	1.16
ENSDARG00000011579	0.07	0	0	0	0	0
ENSDARG00000011581	0.82	0.42	0.81	0.86	1.49	1.54
ENSDARG00000011582	83.74	66.21	89.89	61.18	90.86	75.64
ENSDARG00000011583	17.43	16.7	23.54	19.04	15.84	18.66
ENSDARG00000011594	18.04	15.99	13.74	15.68	16.22	20.15
ENSDARG00000011597	85.33	66.89	74.93	95.88	78.36	66.52
ENSDARG00000011600	43.53	32.11	54.08	50	44.54	4.1
ENSDARG00000011602	80.8	69.4	65.71	97.12	125.9	70.11
ENSDARG00000011605	17.55	18.72	22.02	23.88	21.12	20.04
ENSDARG00000011609	86.65	91.67	81.9	90.66	103.65	77.42
ENSDARG00000011611	247.4	217.49	243.52	282.13	253.34	201.8
ENSDARG00000011613	148.77	171.99	141.81	153.2	147.69	352.19
ENSDARG00000011615	0.04	0	0.1	0.62	0.24	0
ENSDARG00000011618	0.13	0.39	0.19	0.23	0.14	0
ENSDARG00000011635	0.09	0.1	1.73	0.22	0.21	0
ENSDARG00000011640	54.08	11.82	107.91	67.87	72.34	14.81
ENSDARG00000011648	64.47	88.82	77.84	59.49	62.81	104.01
ENSDARG00000011661	37.2	28.01	23.02	32.03	23.64	37.62
ENSDARG00000011662	44.55	42.71	38.78	47.92	43.9	48.52
ENSDARG00000011665	1107.73	870.62	962.59	1090.54	1056.84	854.21
ENSDARG00000011671	0.28	23.45	0.03	0.03	0.03	1.05
ENSDARG00000011672	21.02	20.17	13.98	19.56	20.24	11.93
ENSDARG00000011683	12.77	12.68	10.26	11.05	7.28	8.04
ENSDARG00000011693	0	1.11	1.06	0	0	0
ENSDARG00000011696	0	0.45	0.3	0	0	0
ENSDARG00000011701	0	0.32	0	0	0.24	2.54
ENSDARG00000011703	12.24	17.51	18.71	14.95	28.69	14.75
ENSDARG00000011723	5.38	7.18	7.13	4.66	5.58	7.54
ENSDARG00000011724	1.58	4.33	4.92	2.97	4.25	2.99
ENSDARG00000011727	7.76	10.32	8.38	14.54	8.34	8
ENSDARG00000011740	104.2	103.92	104.47	114.63	116.59	103.82
ENSDARG00000011743	9.23	10.32	9.01	7.46	9.6	9.63
ENSDARG00000011764	14.68	13.11	9.31	13.74	13.5	21.88
ENSDARG00000011769	4.07	5.23	4.56	4.5	5.25	3.12
ENSDARG00000011770	25.68	19.87	14.38	20.68	16.12	7.64
ENSDARG00000011783	23.76	26.97	23.01	25.29	23.83	24.83
ENSDARG00000011785	10.32	14.87	12.05	9.7	7.56	22.01
ENSDARG00000011797	1.95	0.4	3.42	2.61	1.19	0.67
ENSDARG00000011801	9.04	9.98	8.35	7.19	6.76	9.06
ENSDARG00000011809	7.1	6.21	10.26	7.83	12.32	1.47
ENSDARG00000011818	1.42	1.2	24.77	0	19.02	6.49
ENSDARG00000011819	28.38	24.73	27.19	34.3	33.51	28.28
ENSDARG00000011821	0.83	1.22	1.03	1.19	2.12	0.83
ENSDARG00000011824	178.88	228.29	135.74	290.61	280.17	226.67
ENSDARG00000011825	46.25	42.26	37.4	44.72	42.19	36.49
ENSDARG00000011837	29.08	21.59	34.51	34.57	31.91	19.46
ENSDARG00000011841	1129.86	848.68	780.11	862.49	408.59	901.54
ENSDARG00000011845	15.12	29.22	13.3	8.16	17.68	35.97
ENSDARG00000011851	7.26	8.1	7.01	11.24	8.59	8.62
ENSDARG00000011855	22.98	22.14	21.22	25.19	23.91	25.2
ENSDARG00000011862	24.95	39.75	31.78	35.99	24.29	13.04
ENSDARG00000011863	5	3.41	4.95	4.88	4.67	1.69
ENSDARG00000011869	0	0.26	0	0.07	0.07	0.33
ENSDARG00000011870	1.71	0.38	13.27	0.22	9.49	0.39
ENSDARG00000011876	5.9	8.01	5.79	9.82	4.49	3.34
ENSDARG00000011879	0	0	0	0	0.09	0
ENSDARG00000011884	3.12	11.49	3.14	4.44	3.25	7.98
ENSDARG00000011885	27.22	28.67	22.19	28.75	24.42	43.78
ENSDARG00000011886	0.19	30.28	0.05	0	0	0.98
ENSDARG00000011890	44.91	50.02	28.09	45.27	41.81	62.56
ENSDARG00000011897	14.5	13.79	13.91	11.92	15.77	4.39
ENSDARG00000011909	7.22	5.47	5.53	4.53	4.23	1.4
ENSDARG00000011921	64.57	68.33	66.38	74.56	111.11	65.35
ENSDARG00000011925	28.34	25.65	21.97	29.72	25.86	24.55
ENSDARG00000011926	58.46	40.36	42.13	59.86	35.54	46.22
ENSDARG00000011929	1230.66	1105.88	697.17	1335.97	2413.1	649.01
ENSDARG00000011932	46.18	45.57	46.84	50.29	56.36	66.38
ENSDARG00000011934	34.07	31.7	28.83	27.7	34.16	30.4
ENSDARG00000011941	26.12	28.54	25.02	28.71	30.27	26.4
ENSDARG00000011945	29.48	31.7	34.73	34.96	26.49	24.62
ENSDARG00000011948	22.11	19.93	18.45	20.06	22.06	24.04
ENSDARG00000011956	0	0	0.24	0	0.42	0
ENSDARG00000011958	29.36	26.39	39.82	33.71	29.67	20.21
ENSDARG00000011961	12.19	4.8	10.53	12.29	6.43	5.27
ENSDARG00000011973	8.35	7.16	5.16	8.87	5.25	7.73
ENSDARG00000011975	0	0	0.44	0	0.1	0.08
ENSDARG00000011983	4.21	4.74	2.73	5.66	2.28	1.49
ENSDARG00000011989	0	25.98	0.12	0.29	0.89	1.04
ENSDARG00000011998	0	0.31	0.26	1.09	0.67	0.09
ENSDARG00000011999	5.21	11.29	12.25	19.47	12.22	12.85
ENSDARG00000012002	9.62	15.64	11.52	12.25	11.89	17.16
ENSDARG00000012005	16.18	17.53	18.89	18.33	14.73	16.7
ENSDARG00000012013	0.04	0.04	0.47	0.31	0.08	0.08
ENSDARG00000012016	1.78	0.44	1.13	0.89	0.29	0
ENSDARG00000012019	19.37	10.71	19.38	12.41	14.56	3.93
ENSDARG00000012021	19.64	25.8	20.67	18.22	25.65	13.08
ENSDARG00000012025	20.66	23.74	17.76	26.96	23.56	27.66
ENSDARG00000012030	2.93	0.7	2.09	0.72	0.93	0.64
ENSDARG00000012035	13.49	10.48	12.47	11.74	11.25	9.8
ENSDARG00000012039	18.28	13.91	21.42	24.5	20.65	16.32
ENSDARG00000012040	17.16	14.11	15.01	14.31	17.26	13.01
ENSDARG00000012044	2.38	1.05	1.35	1.66	5.41	2.95
ENSDARG00000012051	3.48	2.96	4.53	3.58	2.81	5.88
ENSDARG00000012057	2.54	1.64	1.73	0.19	2.21	0.17
ENSDARG00000012060	0.83	0.75	1.29	0.89	0.57	0.32
ENSDARG00000012066	84.97	80.19	62.11	40.26	33.31	66.46
ENSDARG00000012071	1.33	2.13	3.65	1.12	4.19	0.86
ENSDARG00000012072	60.8	48.56	43.7	68.76	43.96	90.63
ENSDARG00000012073	0.7	1.78	0.82	1.06	2.39	2.19
ENSDARG00000012076	0	0	0.31	0	0.18	0
ENSDARG00000012078	119.12	119.28	77.98	45.73	54.8	166.05
ENSDARG00000012113	12.19	9.48	8.69	8.76	10.8	5.95
ENSDARG00000012125	0	18.62	0	0	0	1.57
ENSDARG00000012126	0	3.79	0.3	0.09	0.17	0.55
ENSDARG00000012135	24.28	23.68	30.07	21.77	29.47	27.45
ENSDARG00000012137	0.4	1.32	0.41	0.84	0.69	3.47
ENSDARG00000012138	217.85	188.84	169.86	212.32	194.79	150.54
ENSDARG00000012140	71.45	93.66	73.28	82.17	64.99	141.1
ENSDARG00000012141	69.24	74.57	60.81	68.87	70.02	94.51
ENSDARG00000012144	62.26	74.74	74.51	74.5	72.06	70.46
ENSDARG00000012177	3.75	5.51	15.4	6.24	8.82	7.32
ENSDARG00000012184	19.76	14.73	18.55	11.27	14.36	9.9
ENSDARG00000012192	28.22	29.01	26.59	29.54	23.72	27.56
ENSDARG00000012194	20.2	15.21	17.13	19.88	23.71	16.88
ENSDARG00000012196	3	3.5	3.18	3.59	3.46	2.76
ENSDARG00000012199	16.09	8.88	7.51	10.04	8.45	3.18
ENSDARG00000012204	62.84	29.49	44.78	64.26	44.64	8.46
ENSDARG00000012215	3.38	5.91	2.23	5.06	3.91	6.15
ENSDARG00000012219	9.23	13.04	12.25	10.26	12.74	19.64
ENSDARG00000012222	17.52	19.95	16.79	16.03	13.65	10.83
ENSDARG00000012234	55.09	61.1	56.84	64.47	59.88	53.9
ENSDARG00000012244	474.31	413.09	386.87	484.63	527.51	434.23
ENSDARG00000012247	1.92	2.25	3.73	2.83	3.4	0.7
ENSDARG00000012248	122.65	88.92	96.01	126.05	106.31	55.55
ENSDARG00000012261	34.35	35.08	39.13	39.09	36.8	30.97
ENSDARG00000012269	0	0	0	0	0.26	0
ENSDARG00000012271	6.09	3.57	3.42	5	5.28	1.83
ENSDARG00000012274	49.82	44.31	57.24	56.17	47.97	37.23
ENSDARG00000012275	1.25	0.17	1.32	1.89	1.41	0.8
ENSDARG00000012281	104.32	104.54	53.35	158.42	124.5	62.31
ENSDARG00000012295	13.75	18.27	14.13	14.84	13.25	18.15
ENSDARG00000012297	0	0.49	0	0	0	0.2
ENSDARG00000012306	67.2	56.93	70.25	57.98	57.75	26.22
ENSDARG00000012311	0.3	0	0	0.63	0.17	0
ENSDARG00000012314	30.72	33.32	30.62	29.42	32.05	38.64
ENSDARG00000012325	9.67	8.64	11.8	10.69	8.9	9.05
ENSDARG00000012340	18.96	22	36.31	24.74	30.51	33.27
ENSDARG00000012341	0	0.63	0.16	0.46	0	1.64
ENSDARG00000012347	126.05	113.89	113.45	138.11	150.02	98.21
ENSDARG00000012353	4.84	3.96	7.13	3.36	7.83	1.31
ENSDARG00000012355	0	0	0	0.16	0.05	0
ENSDARG00000012366	0.13	0	0.25	0.3	0	0
ENSDARG00000012367	23.4	22.31	25.77	28.73	33.63	18.24
ENSDARG00000012368	15.53	14.82	13.01	18.73	15.41	14.34
ENSDARG00000012369	5.34	8.88	9.63	6.03	5.07	7.37
ENSDARG00000012378	72.02	64.84	66.82	63.33	64.25	59.71
ENSDARG00000012381	14.04	19.8	27.98	15.04	16.1	44.83
ENSDARG00000012387	220.19	217.64	179.32	222.81	214.58	175.81
ENSDARG00000012388	68.21	52.55	57.37	36.35	42.12	48.52
ENSDARG00000012389	25.75	27.23	24.3	25.01	26.41	30.36
ENSDARG00000012390	0	0.36	0.23	0.14	0.06	0
ENSDARG00000012395	0.96	1.73	5.21	0	0.49	3.34
ENSDARG00000012397	4.19	3.95	3.85	2.82	3.83	1.18
ENSDARG00000012399	43.53	40.19	38.49	39.07	31.58	25.1
ENSDARG00000012403	11.39	11.43	8.76	11.28	12.08	19.67
ENSDARG00000012405	1.6	4.31	2.71	3.25	2.63	2.24
ENSDARG00000012407	7.24	7.85	5.99	6.44	6.68	7.73
ENSDARG00000012409	0	0	0	0	0.38	0.36
ENSDARG00000012422	0.08	0.17	0.06	0.02	0.23	0.39
ENSDARG00000012426	47.19	21.83	32	34.6	18.02	16.65
ENSDARG00000012432	21.51	23.82	29.3	24.13	32.48	33.9
ENSDARG00000012435	0	0	0	0	0	0
ENSDARG00000012446	0.42	1.18	0.64	1.26	0.12	0.46
ENSDARG00000012449	9.92	8.92	8.37	8.42	10.44	9.53
ENSDARG00000012450	31.07	28.94	22.57	31.21	26.87	23.3
ENSDARG00000012453	12.14	14.85	13.76	12.11	7.12	13.52
ENSDARG00000012458	168.96	132.76	139.94	155.03	175.86	125.23
ENSDARG00000012460	7.69	8.79	13.29	17.97	11	5.16
ENSDARG00000012467	0.12	0.62	0.54	0	0.27	0
ENSDARG00000012468	18.4	13.92	16.3	16.71	20.07	11.92
ENSDARG00000012485	2.03	1.75	1.34	0.2	3.63	2.6
ENSDARG00000012495	18.24	15.43	11.89	17.56	21.47	12.99
ENSDARG00000012496	5.84	2.54	1.84	3.68	2.78	0.25
ENSDARG00000012499	19.34	16.38	28.5	13.01	22.58	13.51
ENSDARG00000012504	1.93	8.71	2.11	1.21	0.92	0.32
ENSDARG00000012505	45.06	46.6	45.1	48.29	48.38	50.38
ENSDARG00000012506	6.74	6.5	8.02	6.26	6.16	9.38
ENSDARG00000012513	167.62	146.77	169.84	142.63	180.16	107.66
ENSDARG00000012519	54.49	54.26	47.55	48.88	59.45	51.12
ENSDARG00000012534	34.46	25.34	50.9	43.13	42.56	16.57
ENSDARG00000012535	0.06	0.18	0	0.14	0.19	0
ENSDARG00000012553	33.75	34.98	28.44	33.76	29.48	45.43
ENSDARG00000012555	170.7	151.71	411.38	143.56	325.28	157.25
ENSDARG00000012563	5.22	7.31	6.48	6.64	3.69	8.8
ENSDARG00000012572	8.73	16.04	8.75	16.3	9.7	11.18
ENSDARG00000012574	8.09	8.54	5.43	10.35	8.22	5.68
ENSDARG00000012577	149.03	145.75	138.46	128.67	157.59	137.71
ENSDARG00000012586	4.4	5.39	6.99	3.96	4.95	1.71
ENSDARG00000012588	30.15	30.64	33.92	27.39	40.87	20.61
ENSDARG00000012591	66.26	65.48	61.57	76.71	71.35	72.74
ENSDARG00000012593	2.4	1.83	2.21	2.32	1.87	1.33
ENSDARG00000012600	0.95	1.83	2.15	1.43	3.22	3.88
ENSDARG00000012603	58.37	61.96	58.86	86.75	109.3	95.22
ENSDARG00000012609	0	0	0	0	0	0
ENSDARG00000012610	1.25	15.45	1.73	2.37	0.66	3.91
ENSDARG00000012625	42.61	69.23	78.8	45.39	56.73	80.73
ENSDARG00000012627	26.74	29.72	22.82	31.65	29.21	30.83
ENSDARG00000012632	1.97	2.04	2.25	2.9	3.52	2.89
ENSDARG00000012640	0	0.26	0	0	0	0
ENSDARG00000012642	11.36	10.06	13.26	9.58	12.28	7.69
ENSDARG00000012649	32.36	22.28	19.08	14.53	30.3	16.64
ENSDARG00000012656	71.07	53.44	67.72	59.24	72.13	41.41
ENSDARG00000012667	67.76	68.67	27.29	30.84	60.51	28.59
ENSDARG00000012671	3.81	2.76	4.78	5.85	3.7	2.15
ENSDARG00000012672	36.09	42.98	35.84	43.33	37.12	40.04
ENSDARG00000012674	15.32	15.5	15.99	12.68	14.7	12.16
ENSDARG00000012682	200.18	194.39	194.33	238.6	219.75	183.17
ENSDARG00000012684	90.45	105.29	76.34	108.24	108.66	170.81
ENSDARG00000012688	786.42	904.94	822.46	888.97	788.13	1051.04
ENSDARG00000012694	0.08	0.2	0.22	0.03	0.06	0.06
ENSDARG00000012699	10.24	8.52	11.35	18.53	16.56	11.68
ENSDARG00000012718	0.23	0.55	0.08	0.09	0.69	0.97
ENSDARG00000012723	64.33	62.74	53.97	51.7	52.53	50.3
ENSDARG00000012726	0.26	1.51	1.03	1.03	0.97	0.37
ENSDARG00000012729	7.85	5.47	7.7	8.66	11.47	3.04
ENSDARG00000012741	43.17	46.81	40.07	50.84	53.15	39.6
ENSDARG00000012745	7.14	6.63	5.45	6.01	5.78	1.13
ENSDARG00000012747	64.1	74.41	69.94	85.84	58.71	71.61
ENSDARG00000012763	25.68	24.71	23.02	26.78	32.27	18.36
ENSDARG00000012776	49.57	45.04	38.3	52.78	51.03	46.98
ENSDARG00000012777	139.4	146.83	135.71	193.46	255.69	166.65
ENSDARG00000012788	0.29	0.3	0.29	0.07	0	0.61
ENSDARG00000012789	0.29	0	0.33	0.17	0.21	0.1
ENSDARG00000012790	12.09	9.35	10.37	7.15	11.42	7.05
ENSDARG00000012796	5.74	5.51	13.58	13.86	9.53	0.59
ENSDARG00000012801	17.65	23.03	21.18	21.48	15.53	18.01
ENSDARG00000012816	5.04	5.21	4.84	5.54	5.4	4.17
ENSDARG00000012818	35.36	34.69	34.02	33.65	34.12	62.3
ENSDARG00000012820	44.38	43.19	40.2	45.91	67.67	59.5
ENSDARG00000012823	13.65	17.3	15.2	12.78	18.22	17.42
ENSDARG00000012824	3.76	2.48	3.8	7.29	2.72	3.28
ENSDARG00000012827	12.2	10.46	10.32	7.54	9.02	9.61
ENSDARG00000012829	0.36	0.25	0.94	1.7	0.8	1.89
ENSDARG00000012833	19.1	28.9	23.62	16.83	22.44	20.95
