gene_id	tpm_WT_1	tpm_WT_2	tpm_WT_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000001498	2.38	1.39	2.08	2.49	0.58	1.21
ENSDARG00000001549	1.37	1.98	1.81	1.63	1.85	2.36
ENSDARG00000001557	28.16	24.43	29.03	29.46	25.44	22.44
ENSDARG00000001558	1.61	2.62	3.89	2.3	3.67	0.48
ENSDARG00000001559	20.78	18.34	18.95	18.33	20.97	9.27
ENSDARG00000001572	0	0.18	0	0	0	0
ENSDARG00000001578	62.03	74.08	53.15	65.64	52.95	70.62
ENSDARG00000001621	4.65	6.8	5.42	6.71	5.69	15.73
ENSDARG00000001634	28.64	23.64	29.29	41.9	35.63	22.73
ENSDARG00000001656	6.57	4.84	8.52	5.75	9.62	14.98
ENSDARG00000001676	169.24	112.1	105.76	88	83.29	35.16
ENSDARG00000001686	1.58	9.57	4.84	3.19	3.03	2.27
ENSDARG00000001710	70.23	59.38	66.31	63.4	67.94	84.51
ENSDARG00000001712	0.38	0.33	0.81	0.82	0.86	1.29
ENSDARG00000001721	1.02	0.69	0.84	1.16	1.23	0.05
ENSDARG00000001729	45.43	47.4	45.13	57.02	57.11	59.27
ENSDARG00000001733	20.38	19.45	14.48	18.32	15.17	9.48
ENSDARG00000001734	39.79	36.79	27.58	30.99	27.56	29.78
ENSDARG00000001754	10.17	6.95	10.81	6.31	12.45	6.07
ENSDARG00000001760	0	0.26	0.08	0.2	0.23	0
ENSDARG00000001767	1.32	2.16	0.28	0.75	0.94	0
ENSDARG00000001769	34.74	30.55	30.03	28.32	30.4	26.34
ENSDARG00000001771	0.78	0	0.1	0.7	0.99	0.72
ENSDARG00000001776	1.9	0.61	1.25	0.84	1.15	0.47
ENSDARG00000001777	18.39	21.42	18.52	16.16	19.76	18.74
ENSDARG00000001781	7.5	5.03	10.85	7.14	11.18	6.73
ENSDARG00000001782	4.38	5.16	6.03	7.69	4.41	7.73
ENSDARG00000001785	30.23	34.01	11.7	34.79	31.23	17.7
ENSDARG00000001788	1377.47	1378.67	1078.77	1127.23	863.49	1231.07
ENSDARG00000001803	9.05	9.15	17.15	13.97	13.19	6.83
ENSDARG00000001804	3.46	2.64	3.43	3.26	5.79	6.94
ENSDARG00000001807	26.63	20.28	20.41	20.54	24.29	6.22
ENSDARG00000001817	8.31	8.63	10.87	6.71	7.39	3.88
ENSDARG00000001818	2.71	3.28	5.58	2.32	3.6	1.8
ENSDARG00000001825	1.99	0.66	2	1.8	2	0.77
ENSDARG00000001829	80.8	92.58	79.12	126.18	117.21	234.83
ENSDARG00000001835	62.55	46.11	67.05	68.11	73.74	30.16
ENSDARG00000001857	20.95	21.48	22.83	19.8	23.96	22.69
ENSDARG00000001859	3.72	2.75	3.57	6.46	3.26	1.46
ENSDARG00000001870	0	0.14	0.04	0.27	0.2	0.24
ENSDARG00000001873	46.17	26.53	24.4	24.12	16.03	6.99
ENSDARG00000001879	3.67	5.33	3.2	1.87	5.76	5.67
ENSDARG00000001880	9.06	8.22	9.04	7.12	6.8	7.32
ENSDARG00000001881	10.61	16.53	14.66	8.97	13.71	9.55
ENSDARG00000001882	0.06	0.38	0.18	0.73	0.34	0.52
ENSDARG00000001888	20.43	18.25	37.79	21.16	31.76	11.9
ENSDARG00000001889	1607.23	1486.5	2371.19	1467.26	1924.32	1323.66
ENSDARG00000001890	49.34	51.5	48.64	53.74	55.93	38.55
ENSDARG00000001891	9.58	15.72	11.06	7.39	11.85	21.92
ENSDARG00000001897	23.36	19.14	25.06	19.21	23.43	29.8
ENSDARG00000001898	18.61	13.28	17.29	17.79	14.36	13.53
ENSDARG00000001906	1.18	0.29	4.48	2.86	6.46	0.3
ENSDARG00000001909	0	1.11	0.21	0.05	0.1	0
ENSDARG00000001910	59.38	79.21	43.02	45.2	75.31	62.09
ENSDARG00000001912	4.19	3.72	11.27	9.19	8.4	1.09
ENSDARG00000001913	0.3	1.62	0.73	0.07	0.63	0.51
ENSDARG00000001929	55.45	51.86	48.71	43.48	51.78	32.36
