ensembl_gene_id	tpm_Tert_1	tpm_Tert_2	tpm_Tert_3	tpm_TertTP53_1	tpm_TertTP53_2	tpm_TertTP53_3
ENSDARG00000032603	23.07	20.64	12.85	21.03	20.83	28.45
ENSDARG00000032606	45.79	22.77	47.24	17.21	26.99	25.16
ENSDARG00000032614	24.8	29.94	25.95	47.38	33.04	17.72
ENSDARG00000032617	2.55	21.6	10.27	17.98	5.49	1.06
ENSDARG00000032618	29.58	15.6	25.14	17.03	17.02	7.55
ENSDARG00000032619	389.85	217.11	221.56	293.49	201.9	554.62
ENSDARG00000032623	144.56	126.91	127.1	167.09	190.4	116.74
ENSDARG00000032627	32.48	29.28	32.99	28.41	37.87	23.19
ENSDARG00000032630	0.49	0.44	11.43	0.42	0.15	0.45
ENSDARG00000032631	3.25	3.4	2.35	2.82	1.82	1.44
ENSDARG00000032639	10.75	21.94	14.76	34.05	30.16	8.8
ENSDARG00000032650	7.49	10.57	9.97	8.82	7.14	13.25
ENSDARG00000032651	92.22	68.75	80.58	69.49	70.14	97.51
ENSDARG00000032653	14.42	9.79	15.37	16.39	13.06	13.62
ENSDARG00000032704	16.32	14.98	15.15	18.64	16.81	14.81
ENSDARG00000032705	4.22	1.29	2.35	3.4	1.6	7.56
ENSDARG00000032708	21.17	26.65	27.27	24.86	32.64	33.1
ENSDARG00000032714	7.65	16.07	14.79	20.81	26.85	4.86
ENSDARG00000032725	1253.81	1844.27	1582.59	1392.11	1568.22	1642.21
ENSDARG00000032737	57.65	53.56	44.09	86.71	81.14	57.72
ENSDARG00000032743	0.44	1.56	0.29	0.85	2.29	0.9
ENSDARG00000032746	1.82	4.75	3.94	3.36	2.88	0.19
ENSDARG00000032761	6.76	9.09	7.06	9.89	7.64	2.57
ENSDARG00000032765	21.86	51.15	54.21	8.44	8.09	4.02
ENSDARG00000032769	15.77	7.91	9.99	5.21	10.75	12.57
ENSDARG00000032780	24.03	23.49	17.22	28.6	19.54	24.96
ENSDARG00000032795	8.44	9.09	13.2	13.12	12.42	8.42
ENSDARG00000032799	28.26	13.99	18.11	17.74	20.84	28.8
ENSDARG00000032801	1.95	1.24	3.31	0.2	0.16	0.06
ENSDARG00000032802	79.7	65.73	108.26	76.06	78.39	61.14
ENSDARG00000032808	0.22	0.7	0.19	0.18	0.39	0.45
ENSDARG00000032816	30.76	18.06	20.7	22.68	18.98	24.74
ENSDARG00000032820	2.71	7.47	7.74	7.86	6.85	3.59
ENSDARG00000032831	41.02	54.62	24.07	31.23	30.68	10.86
ENSDARG00000032836	0	1.15	0.24	0.28	0	0.24
ENSDARG00000032838	0	0	0.03	0	0.07	0
ENSDARG00000032849	25.74	43.26	11.55	19.58	29.75	7.43
ENSDARG00000032856	11.49	16.88	20.87	22.96	33.95	5.38
ENSDARG00000032859	3.22	6.14	2.71	6.5	6.72	5.25
ENSDARG00000032862	8.25	10.38	15.07	3.03	5.54	2.57
ENSDARG00000032865	197.07	129.37	111.03	137.48	223.28	126.44
ENSDARG00000032866	100.12	104.35	93.38	115.83	84.82	124.26
ENSDARG00000032868	110.21	157.6	112.27	192.54	211.11	121.38
ENSDARG00000032876	11.86	12.18	10.57	15.4	14.18	15.66
ENSDARG00000032885	1.05	2.64	1.61	1.57	2.07	1.71
ENSDARG00000032896	0.43	7.02	7.47	38.85	2.38	0.97
ENSDARG00000032919	37.29	48.64	50.03	30.25	37.56	41.16
ENSDARG00000032929	3.01	1.71	2.09	0.82	3.2	0.54
ENSDARG00000032932	3.62	7.98	11.01	4.22	2.37	2.35
ENSDARG00000032933	25.88	20.31	14.13	20.35	25.22	19.26
ENSDARG00000032951	35.01	23.89	17.81	23.17	20.4	31.46
ENSDARG00000032959	18.39	31.65	33.31	36.3	54	10.29
ENSDARG00000032963	0.6	4.9	2.62	0.86	2.66	0.15
ENSDARG00000032970	799.89	722.52	449.6	924.02	481.82	879.16
ENSDARG00000032976	0	0	0.39	0.69	0	0.2
ENSDARG00000032985	32.17	32.78	34.03	29.22	30.42	47.3
ENSDARG00000032990	5.67	3.74	10.74	3.9	8.71	1.16
ENSDARG00000032997	124.83	116.26	87.56	135.26	103.47	143.03
ENSDARG00000033009	643.09	497.66	591.99	571.9	614.22	993.05
ENSDARG00000033012	6.85	5.66	7.06	7.26	7.85	7.57
ENSDARG00000033020	8.37	7.33	4.11	7.83	4.68	6.1
ENSDARG00000033029	0.72	0.57	0.61	0.47	0.46	0.17
ENSDARG00000033042	2.3	4.92	3.97	2.03	1.93	1.07
ENSDARG00000033046	0.88	0.88	0.83	0.39	0.29	0.22
ENSDARG00000033071	0.73	1.61	0.41	0.1	0.4	0
ENSDARG00000033099	6.02	10.72	4.93	6.14	15.56	3.57
ENSDARG00000033104	0.04	0.09	0.62	0.15	0.09	0.32
ENSDARG00000033126	20.9	20.69	19.81	21	33.97	30.36
ENSDARG00000033134	7.15	9.39	7.04	9.22	8.63	8.67
ENSDARG00000033138	43.42	45.36	58.62	62.66	76.21	81.14
ENSDARG00000033140	141.99	122.49	109.97	157.52	134.26	116.25
ENSDARG00000033144	58.1	67.2	122.07	22.69	41.1	44.26
ENSDARG00000033160	8.79	8.62	5.51	9.72	13.28	18.67
ENSDARG00000033161	1.13	71.85	32.59	66.67	25.01	0
ENSDARG00000033170	29.18	20.21	36.1	14.41	9.92	6.19
ENSDARG00000033171	16.07	22.81	15.74	27.56	18.09	24.22
ENSDARG00000033172	1.84	2.3	0.92	0.67	1.4	1.09
ENSDARG00000033175	74.71	110.08	93.22	88.35	80.56	108.16
ENSDARG00000033179	18.42	21.42	12.71	19.08	17.61	30.29
ENSDARG00000033182	35.77	34.96	23.81	46.19	25.92	66.1
ENSDARG00000033184	70.26	86.62	128.56	107.5	114.2	117.6
ENSDARG00000033201	64.14	85.19	69.3	111.93	95.14	112.89
ENSDARG00000033227	6.86	3.84	23.72	0.25	1.52	1.58
ENSDARG00000033231	0.06	0.22	0	0.2	0	0.29
ENSDARG00000033234	757.41	561.86	510.09	841.92	858.01	789.41
ENSDARG00000033251	4.93	3.89	7.82	1.17	0.75	0.05
ENSDARG00000033259	20.47	20.06	17.02	18.36	28.76	12.09
ENSDARG00000033273	1.08	1.95	4.51	0.98	1.34	0.95
ENSDARG00000033285	13.22	21.03	25.84	1.11	4.7	2.3
ENSDARG00000033296	48.01	91.91	42.97	102.13	118.16	15.64
ENSDARG00000033307	14.79	24.46	12.79	26.95	13.81	4.33
ENSDARG00000033320	7.73	16.7	10.37	20.78	13.01	5.97
ENSDARG00000033327	1.53	2.8	2.35	1.26	3.56	0.9
ENSDARG00000033345	4.12	5.37	3.26	10.02	4.02	2.74
ENSDARG00000033355	3.03	0.91	0.51	2.46	0.65	1.11
ENSDARG00000033361	9.14	6.06	10.04	4.94	5.81	5.99
ENSDARG00000033364	149.4	143.69	164.7	158.88	138.35	100.29
ENSDARG00000033367	59.32	41.07	52.22	47.53	49.19	55.5
ENSDARG00000033370	6.23	7.75	8.34	4.78	6.37	5.02
ENSDARG00000033376	30.01	29.61	23.41	25.05	23.48	16.05
ENSDARG00000033380	0.92	0.62	0	0	0.2	0.85
ENSDARG00000033382	0.24	1.42	0.73	0.28	2.84	0
ENSDARG00000033411	13.02	2.23	4.11	1.73	4.57	6.36
ENSDARG00000033413	12.24	9.57	8.2	8.24	9.16	10.7
ENSDARG00000033418	22.51	20.73	18.19	24.7	22.47	37.73
ENSDARG00000033436	19.6	27.84	37.56	22.49	24.44	17.97
ENSDARG00000033437	16.14	25.12	20.53	26.54	17.5	15.11
ENSDARG00000033440	30.11	44.36	42.38	40.1	43.66	27.21
ENSDARG00000033443	81.68	46.73	50.7	42.87	43.4	53.98
ENSDARG00000033444	16.69	23.58	10.55	18.63	18.57	16.59
ENSDARG00000033446	8.76	11.28	9.32	8.25	10.69	12.45
ENSDARG00000033447	57.6	96.43	77.09	170.96	183.5	57.88
ENSDARG00000033450	70.21	64.75	70.71	93.18	136.65	117.97
ENSDARG00000033451	6.37	4.47	5.56	6.19	5.66	4.34
ENSDARG00000033462	0	0	0	0.09	0	0
ENSDARG00000033466	85.69	55.64	159.9	24.2	23.93	80.75
ENSDARG00000033489	34.73	29.26	29.56	26.51	34.92	19.27
ENSDARG00000033498	9.13	6.49	6.14	3.8	23.67	6.41
ENSDARG00000033516	26.31	22.06	18.97	26.64	37.32	19.75
ENSDARG00000033533	27.2	34.02	26.57	35.43	39.17	41.34
ENSDARG00000033537	5.34	5.73	4.39	4.06	10.17	3.56
ENSDARG00000033539	51.74	42.96	91.94	34.73	29.42	28.82
ENSDARG00000033544	0.4	3.47	0.5	1.32	0.09	0.11
ENSDARG00000033551	17.57	16.61	14.55	22	15.16	29.04
ENSDARG00000033566	0.16	0.47	0.15	1.11	0.29	0.98
ENSDARG00000033567	75.35	119.9	65.91	128.12	125.87	30.87
ENSDARG00000033587	0	0.35	0.71	0.28	2.01	0
ENSDARG00000033594	0.47	0	0.46	0	0	0
ENSDARG00000033596	44.45	46.16	26.98	43.73	31.82	68.67
ENSDARG00000033597	69.6	75.1	75.71	82.36	62.13	91.26
ENSDARG00000033599	15.15	84.51	17.49	24.03	39.47	12.28
ENSDARG00000033604	44.58	78.27	45.78	67.3	60.86	46.74
ENSDARG00000033609	147.11	177.55	130.12	257.26	238.15	175.9
ENSDARG00000033610	0.77	3.04	1.46	3.97	0.31	1.07
ENSDARG00000033614	84.26	65.03	48.91	82.02	92.97	102.4
ENSDARG00000033616	20.91	26.73	15.1	17.69	15.87	21.26
ENSDARG00000033635	1.14	5.32	3.14	6.3	8.88	3.33
ENSDARG00000033647	87.71	94.82	72.79	112.84	103.72	127.5
ENSDARG00000033655	1137.93	1396.95	715.09	1617.67	1500.97	1045.45
ENSDARG00000033662	19.57	20.86	16.01	13.3	11.96	7.03
ENSDARG00000033666	18.88	15.87	14.2	15.41	18.96	18.01
ENSDARG00000033683	13.28	17.28	539.3	28.03	34.24	10.61
ENSDARG00000033684	0.24	0.35	6.49	0	0	0
ENSDARG00000033706	1.46	3.79	2.82	6.19	4.92	4.69
ENSDARG00000033707	27.71	24.38	23.6	26.75	29.59	34.94
ENSDARG00000033726	4.48	1033.09	0.4	1.97	3.02	0
ENSDARG00000033727	1.37	1.22	0.66	0.92	0	1.17
ENSDARG00000033735	15.97	21.57	15.9	15.72	28.75	14.69
ENSDARG00000033738	294.52	272.2	287.52	187.05	148.44	235.93
ENSDARG00000033742	11.27	7.06	38.15	4.47	7.55	1.74
ENSDARG00000033754	14.8	19.78	13.08	19.27	19.94	34.05
ENSDARG00000033757	3.15	4.9	7.33	1.32	2.82	1
ENSDARG00000033760	0.55	1	1.11	0.39	9.41	1.13
ENSDARG00000033768	44.99	34.89	33.23	42.31	43.48	57.07
ENSDARG00000033771	3.86	3.59	3.7	3.9	2.66	2.15
ENSDARG00000033789	218.53	190.16	171.53	348.03	185.25	318.96
ENSDARG00000033802	14.36	19.76	19.06	16.38	17.61	5.48
ENSDARG00000033804	37.58	28.02	30.32	27.62	28.41	12.96
ENSDARG00000033832	2.03	2	11.04	6.35	3.02	3.11
ENSDARG00000033840	7.9	6.06	5.67	8.21	9.16	4.68
ENSDARG00000033845	64.66	35.01	48.14	56.67	51.69	48.46
ENSDARG00000033852	8.84	8.08	9.81	10.79	11.24	8.53
ENSDARG00000033854	2.01	2.95	1.96	3.87	0.62	3.94
ENSDARG00000033855	45.79	31.74	41.36	35.03	34.52	55.93
ENSDARG00000033861	12.88	15.57	10.32	14.75	14.46	19.32
ENSDARG00000033871	18.45	19.89	10	16.45	10.33	17.63
ENSDARG00000033889	47.91	39.6	38.23	59.01	46.61	94.36
ENSDARG00000033899	251.45	264.46	244.24	350.3	405.41	307.91
ENSDARG00000033901	22.51	18.49	15.01	34.33	20.98	16.8
ENSDARG00000033916	19.56	17.56	22.51	25.98	16.09	29.79
ENSDARG00000033928	153.37	155.71	104.14	223.67	179.97	155.87
ENSDARG00000033949	1.25	1.39	1.8	0.52	1.36	1.19
ENSDARG00000033950	5.74	4.87	5.54	5.68	4.09	1.51
ENSDARG00000033953	0.68	0.39	1.81	0	0	0
ENSDARG00000033955	5.39	3.51	2.85	3.32	3.75	0.76
ENSDARG00000033956	0.29	0.73	1.17	0.67	2.21	0.54
ENSDARG00000033957	5.13	7.59	6.11	8.56	7.44	9.68
ENSDARG00000033965	32.49	35.85	48.52	26.97	34.33	27.48
ENSDARG00000033967	3.09	6.08	2.29	1.83	2.41	2.26
ENSDARG00000033971	8.75	9.39	17.89	11.73	6.54	2.43
ENSDARG00000033973	14.03	12.98	12.49	18.02	13.62	20.23
ENSDARG00000033978	30.73	35.24	23.27	39.49	36.22	27.16
ENSDARG00000033987	14.92	13.79	13.04	22.34	15.16	9.29
ENSDARG00000033993	7.51	10.06	8.04	7.22	7.83	5.5
ENSDARG00000033999	7.7	3.29	4.27	1.33	3.96	2.12
ENSDARG00000034001	9.23	4.58	8.31	5.86	4.25	12.38
ENSDARG00000034007	8.89	9.21	8.55	4.28	7.44	2.35
ENSDARG00000034013	13.2	24.66	13.49	14.59	14.22	9.54
ENSDARG00000034042	10.05	13.1	8.08	12.25	11.62	14.64
ENSDARG00000034043	52.55	57.8	56.21	52.42	114.57	70.08
ENSDARG00000034048	23.86	14.04	7.94	20.03	17.87	25.61
ENSDARG00000034056	29.79	36.09	32.67	43.25	43.45	31.11
ENSDARG00000034060	13.83	12.26	12.21	11.91	15.34	14.75
ENSDARG00000034063	8.27	7.54	16.5	4.07	7.82	1.7
ENSDARG00000034076	35.18	39.2	32.47	40.2	52.12	16.84
ENSDARG00000034080	17.73	9.81	70.82	1.92	0.32	0.55
ENSDARG00000034086	233.24	205.67	164.32	359.89	353.24	276.55
ENSDARG00000034093	98.03	52.3	33.94	63.34	68	59.23
ENSDARG00000034095	3.05	3.13	4.89	1.99	2.4	1.71
ENSDARG00000034095	4.23	3.22	8.83	3.68	5.86	3.58
ENSDARG00000034105	107.3	84.74	70.54	124.23	120.64	73.93
ENSDARG00000034107	49.76	41	30.89	68.38	58	54.8
ENSDARG00000034117	86.98	33.91	82.64	32.03	44.99	59.38
ENSDARG00000034138	0	0	0.82	0	0.62	0
ENSDARG00000034146	20.8	21.18	18.63	16.13	14.05	14.6
ENSDARG00000034160	20.85	16.33	18.45	16.7	20.41	12.34
ENSDARG00000034165	35.28	32.41	26.59	45.49	49.61	22.61
ENSDARG00000034168	74.79	161.5	100.47	247.37	187.61	33.97
ENSDARG00000034173	4.14	11.87	4.5	8.95	10.03	7.71
ENSDARG00000034174	13.25	16.7	17.71	16.94	16.65	16.28
ENSDARG00000034178	19.9	20	21.82	21.94	21.3	17.85
ENSDARG00000034181	3.57	37.22	10.2	22.63	12.7	2.21
ENSDARG00000034187	555.82	638.47	498.14	1115.77	914.17	606.94
ENSDARG00000034189	14.39	15.64	15.05	15.25	22.02	5.96
ENSDARG00000034195	54.16	60.54	57.15	68.17	73.78	54.66
ENSDARG00000034207	5.62	2.99	18.14	2.42	1.85	0
ENSDARG00000034210	7.26	10.14	11.64	7.22	9.74	2.26
ENSDARG00000034215	54.75	48.66	39.52	62.67	71.76	41.52
ENSDARG00000034222	2.41	4.3	3.33	2.45	1.05	1.18
ENSDARG00000034227	18.29	15.3	13.37	18.89	12	21.14
ENSDARG00000034229	43.2	44.08	32.92	51.16	90.27	83.62
ENSDARG00000034240	72.6	76.07	107.44	72.02	72.35	64.21
ENSDARG00000034256	9.33	10.28	11.6	5.68	12.15	7.94
ENSDARG00000034262	10.12	12.52	8.8	8.98	10.64	3.98
ENSDARG00000034268	4.79	22.24	9.01	9.63	4.08	2.26
ENSDARG00000034270	102.84	92.72	98.19	119.66	100.97	97.34
ENSDARG00000034291	2142.44	3240.89	1909.63	2225.19	1410.16	2499.52
ENSDARG00000034293	184.22	233.02	217.19	222.01	275.74	155.55
ENSDARG00000034300	8.86	11.79	6.13	6.3	3.86	1.36
ENSDARG00000034307	2.78	6	4.67	3.87	6.6	5.92
ENSDARG00000034309	21.3	23.31	19.78	26.72	23.81	18.5
ENSDARG00000034313	47.67	48.85	51.43	56.55	50.03	40.31
ENSDARG00000034326	66.94	56.47	69.67	55.07	81.88	84.11
ENSDARG00000034330	0.13	0	0	0	0	0
ENSDARG00000034344	52.73	53.79	41.58	90.07	98.77	72.74
ENSDARG00000034368	50.41	51.9	48.37	43.67	45.65	40.16
ENSDARG00000034375	19.08	39.78	22.22	43	30.58	7.92
ENSDARG00000034396	20.51	27.62	25.56	15.87	19.77	12.99
ENSDARG00000034403	2	2.68	7.65	0	0	0
ENSDARG00000034409	40.57	47.28	34.88	56.42	45.96	70.93
ENSDARG00000034420	1.75	4.26	1.87	4.17	7.65	3.94
ENSDARG00000034423	181.4	131.1	122.56	152.64	85.48	69.57
ENSDARG00000034424	12.38	10.98	15.08	26.19	5.87	1.46
ENSDARG00000034427	48.18	61.24	90.99	42.58	48.01	33.65
ENSDARG00000034430	1.68	3.37	1.76	3.5	2.75	6.33
ENSDARG00000034434	5.1	3.57	4.81	3.11	5.72	3.8
ENSDARG00000034443	13.67	16.75	15.1	15.99	16.99	19.85
ENSDARG00000034453	32.03	15.38	16.73	42.31	20.56	44.65
ENSDARG00000034457	0.81	3.11	0.39	0.77	1.94	0.41
ENSDARG00000034470	6.39	13.66	28.84	6.97	6.16	2.98
ENSDARG00000034473	27.85	23.67	27.55	19.47	25.5	11.27
ENSDARG00000034493	18.81	9.84	8.46	14.2	23.85	8.26
ENSDARG00000034497	19.86	19.45	17.38	14.69	17.26	22.37
ENSDARG00000034503	54.92	45.56	44.69	49.84	60.16	70.42
ENSDARG00000034504	32.77	87.94	44.47	92.59	131.92	56.58
ENSDARG00000034518	9.88	12.07	7.38	6.78	8.69	13.95
ENSDARG00000034522	152.96	153.86	99.12	207.67	261.34	197.31
ENSDARG00000034528	13.8	11.04	35.44	18.79	22.19	7.44
ENSDARG00000034534	220.79	262.57	176.71	284.57	395.74	370.54
ENSDARG00000034541	7.89	8.16	9.04	7.09	5.49	2.67
ENSDARG00000034559	1.01	1.12	1.21	0.87	0.29	0.36
ENSDARG00000034568	13.31	15.86	11.35	11.56	11.3	12.39
ENSDARG00000034572	19.47	16.82	19.28	23.28	26.02	12.25
ENSDARG00000034577	0	0.11	0	0	0	0.39
ENSDARG00000034588	0.11	4.61	2	0	1.09	0
ENSDARG00000034600	47.88	68.92	42.98	48.61	47.53	43.46
ENSDARG00000034605	7.46	10.65	6.35	8.16	5.6	10.39
ENSDARG00000034610	0.41	1.31	0	0.39	0.82	0.69
ENSDARG00000034616	129.88	151.25	119.28	212.2	196.55	197.26
ENSDARG00000034624	4.01	5.5	8.56	2.82	6.96	4.11
ENSDARG00000034633	62.17	60.36	51.22	65.25	56.01	65.48
ENSDARG00000034643	6.91	8.97	9.55	7.99	9.23	4.62
ENSDARG00000034650	17.97	2.37	1.48	3.68	2	5.26
ENSDARG00000034667	0	1.3	0.23	0.36	0.09	0.08
ENSDARG00000034668	40.17	91.6	70.21	137.86	132.14	72.01
ENSDARG00000034670	94.26	94.62	131.13	117.85	157.27	89.84
ENSDARG00000034677	42.42	3.63	97.92	0.28	0.29	0.83
ENSDARG00000034685	128.14	48.67	66.78	68.56	86.83	167.91
ENSDARG00000034693	10.27	9.1	7.6	7.4	10.31	15.02
ENSDARG00000034700	14.26	17.06	13.62	21.73	18.56	13.36
ENSDARG00000034705	530.85	380.97	351.59	924.42	306.15	688.99
ENSDARG00000034707	0.34	0.49	1.05	0.39	0.18	0
ENSDARG00000034714	3.77	8.88	4.16	8.5	5.41	4.37
ENSDARG00000034717	1.43	1.34	6.36	1.41	2.11	0.83
ENSDARG00000034718	9.4	26.17	12.89	9.77	4.9	2.63
ENSDARG00000034734	27.95	25.7	30.54	32.33	29.15	36.83
ENSDARG00000034753	157.32	157.16	132.58	194.75	180.33	202.79
ENSDARG00000034757	6.19	8.08	4.49	11.61	8.48	13.88
ENSDARG00000034768	29.25	24.99	30.57	25.59	32.93	30.43
ENSDARG00000034771	11.9	16.46	18.6	10	7.02	3.48
ENSDARG00000034773	2.26	2.93	5.73	1.07	1.38	0.31
ENSDARG00000034777	71.97	71.98	81.27	88.41	66.88	62.1
ENSDARG00000034785	30.28	16.34	13.69	12.09	18.12	27.93
ENSDARG00000034808	46.43	90.07	62.26	112.78	141.25	130.88
ENSDARG00000034817	67.68	80.29	39.54	43.14	47.41	32.82
ENSDARG00000034823	134.96	117.36	118.71	94.61	122.17	113.88
ENSDARG00000034825	112.85	95.52	93.41	113.15	100.01	231.68
ENSDARG00000034836	0.18	0.88	0.35	0.63	0.3	0
ENSDARG00000034852	114.56	30.62	44.43	55.95	43.82	128.37
ENSDARG00000034855	0.97	1.8	1.52	3.46	1.54	1.72
ENSDARG00000034862	0.5	0.32	0.08	0.58	0	0.43
ENSDARG00000034871	29.14	30.92	22.59	35.52	42.1	27.14
ENSDARG00000034883	29.33	24.33	15.61	21.96	27.01	31.82
ENSDARG00000034885	23.35	23.73	19.37	23.96	26.94	16.72
ENSDARG00000034893	19.65	22.53	24.91	27.82	31.25	15.85
ENSDARG00000034895	1.99	3.56	1.89	0.69	2.53	0.37
ENSDARG00000034896	35.61	84.26	44.11	94.05	85.8	11.08
ENSDARG00000034897	1745.05	2334.58	2285	1553.67	1757.56	1831.09
ENSDARG00000034907	48.9	53.31	34.15	60.53	54.29	25.03
ENSDARG00000034916	51.99	51.84	50.94	58.34	54.5	50.9
ENSDARG00000034930	0	0	0	0.13	0	0
ENSDARG00000034933	0.98	0.74	1.29	2.29	1.27	0.93
ENSDARG00000034940	0.6	1.02	0.14	0.35	0.49	0.15
ENSDARG00000034941	10.61	5.64	3.62	5.54	5.5	2.32
ENSDARG00000034943	9.48	10.84	12.3	11.98	7.47	4.37
ENSDARG00000034956	19.49	26.89	37.09	49.1	51.03	25.11
ENSDARG00000034957	11.24	12.3	6.64	15.31	10.83	8.79
ENSDARG00000034975	2.43	5.58	4.34	1.22	0.88	0.42
ENSDARG00000034982	33.53	31.87	32.57	27.52	33.97	40.43
ENSDARG00000034988	0.7	0.47	0.57	1.08	0.6	2.09
ENSDARG00000035005	4.41	5.68	5.24	4.44	3.12	0.75
ENSDARG00000035009	1.28	1.24	2.91	4.75	2.69	1.45
ENSDARG00000035018	52.18	31.48	157.69	6.79	8.92	5.89
ENSDARG00000035023	144.07	105.69	106.58	126.63	117.29	214.05
ENSDARG00000035028	2.64	1.8	4.97	2.72	1.62	0.73
ENSDARG00000035043	80.23	107.06	76.66	98.02	94.77	143.57
ENSDARG00000035054	101.79	111.26	96.75	117.12	115.46	103.68
ENSDARG00000035056	82.82	50.84	48.99	71.2	87.25	129.29
ENSDARG00000035066	74.66	58.62	49.81	70.33	85.54	77.72
ENSDARG00000035074	5.61	4.87	5.36	5.98	5.12	8.12
ENSDARG00000035080	0.12	0.12	0.47	0.56	0	0.12
ENSDARG00000035095	0	0.25	0	0	0	0
ENSDARG00000035116	0.12	0.35	0.26	0.38	0.16	0.62
ENSDARG00000035120	26.45	43.06	39.87	38.42	28.3	11.95
ENSDARG00000035122	18.01	16.66	21.35	25.42	23.8	22.07
ENSDARG00000035127	1.38	2.1	5.74	1.52	2.3	0.74
ENSDARG00000035129	25.97	17.45	12.23	23.65	13.04	23.87
ENSDARG00000035131	15.56	20.92	30.18	17.06	16.97	5.41
ENSDARG00000035133	14.48	12.06	15.01	20	17.31	26.23
ENSDARG00000035136	250.51	216.38	351.75	187.77	140.82	176.24
ENSDARG00000035137	1.57	0.55	0.95	0.43	0.2	0.32
ENSDARG00000035146	46.43	50.88	34.57	54.92	49.66	67.16
ENSDARG00000035147	2.16	1.71	5.3	0.92	1.35	1.11
ENSDARG00000035148	20.26	17.61	18.71	20.98	18.51	10.25
ENSDARG00000035149	11.23	18.47	11.03	18.84	15.45	13.04
ENSDARG00000035150	0.54	0.16	0.49	0	0.79	1.14
ENSDARG00000035151	2.43	0.53	0.26	0.72	0.37	2.74
ENSDARG00000035152	251.78	219.46	195.77	264.79	339.52	191.55
ENSDARG00000035161	12.13	13.05	9.38	16.56	16.55	8.55
ENSDARG00000035163	0.15	0.57	0.14	0	0.16	0.15
ENSDARG00000035167	38.86	22.83	22.77	25.87	26.25	32.58
ENSDARG00000035169	0.13	1	0.62	0.15	0.71	0.4
ENSDARG00000035171	0	0	0	0	0	0
ENSDARG00000035175	103.08	101.76	70.82	101.22	117.81	58.96
ENSDARG00000035178	6.57	3.71	18.69	0.09	0	0
ENSDARG00000035181	34.87	31.91	26.12	37.04	35.42	35.27
ENSDARG00000035184	10.29	10.5	10.41	10.99	9.49	5.84
ENSDARG00000035185	0	2.02	0.64	0.78	0.24	0.23
ENSDARG00000035187	18.68	19.66	17.84	11.31	15.21	5.45
ENSDARG00000035188	82.54	79.09	50.82	71.04	107.2	47.39
ENSDARG00000035198	5.39	1.91	8.6	3.16	2.14	0.61
ENSDARG00000035214	0	0	0	0	0	0.16
ENSDARG00000035221	6.71	7.16	5.31	5.61	3.93	9.97
ENSDARG00000035253	3.34	7.21	4.84	15.39	10.01	1.48
ENSDARG00000035256	348.83	267.94	243	397.18	346.93	396.53
ENSDARG00000035257	0	0.42	0	1.98	0.16	0.44
ENSDARG00000035264	19.93	20.8	20.15	21.08	17.94	27.54
ENSDARG00000035273	14.12	7.28	7.88	6.81	5.52	8.96
ENSDARG00000035282	59.95	78.98	51.93	64.58	73.49	89.17
ENSDARG00000035285	70.1	67.48	71.21	74.64	62.71	59.11
ENSDARG00000035290	0.71	1.6	0	0.09	0.17	0
ENSDARG00000035308	1.63	1.59	2.57	1.14	1.55	0.51
ENSDARG00000035309	0.29	3.19	5.14	0.65	1.58	0
ENSDARG00000035322	0.03	0.17	0	0	0.03	0
ENSDARG00000035324	269.72	237.38	240.91	222.9	209.64	284.1
ENSDARG00000035325	132.97	115.04	174.83	137.9	177.77	161.14
ENSDARG00000035326	53.86	47.43	89.77	23.42	21.95	24.06
ENSDARG00000035327	10.45	24.91	503.13	19.28	0.95	34.24
ENSDARG00000035329	103.93	55.27	168.75	53.34	42.46	54.47
ENSDARG00000035330	40.18	30.01	32.37	37.07	41.32	48
ENSDARG00000035332	19.86	17.91	13.8	16.77	16.18	13.29
ENSDARG00000035333	1.82	3.08	2.31	5.11	2.38	2.79
ENSDARG00000035338	76.76	59.68	34.89	60.82	47	26.48
ENSDARG00000035339	0.38	0.18	0.63	0	0.33	0
ENSDARG00000035350	0.37	0.7	0.38	0.84	0.89	0.74
ENSDARG00000035352	42.6	51.21	38.21	60.59	57.15	38.88
ENSDARG00000035357	118.26	130.66	92.96	194.05	199.23	143.55
ENSDARG00000035360	57.75	78.62	57.18	104.33	120.25	36.77
ENSDARG00000035377	0.48	0.46	0	0.28	0.83	0
ENSDARG00000035389	35.58	40.1	30.62	25.47	33.79	26.13
ENSDARG00000035398	10.23	22.5	15.28	32.73	21.7	5.45
ENSDARG00000035399	37.54	51.54	29.38	49.41	45.81	38.02
ENSDARG00000035400	1083.75	864.01	1083.33	730.54	853.9	1022.46
ENSDARG00000035406	17.73	15.36	11.21	20.22	16.22	26.75
ENSDARG00000035415	4.91	9.22	18.41	6.13	4.15	0.84
ENSDARG00000035422	0.98	0.64	0.24	1.8	0.62	0.17
ENSDARG00000035427	10.69	20.71	23.73	19.97	27.23	15.07
ENSDARG00000035433	72.82	44.3	50.13	65.66	54.57	101.32
ENSDARG00000035434	22.51	29.38	12.15	19.33	18.17	30.3
ENSDARG00000035435	3.5	4.01	3.04	3.27	4.77	8.47
ENSDARG00000035438	0.7	0.16	365.53	0.03	0.03	1.14
ENSDARG00000035452	21.91	28.62	16.82	34.39	27.32	16.47
ENSDARG00000035458	1.29	3.68	283.55	3.98	0.23	1.59
ENSDARG00000035459	1.38	6.2	1.25	0.84	3.46	1.41
